match_id,date,venue,city,season,batting_team,bowling_team,innings,batter,entry_score,entry_wickets,entry_over,entry_bowler,runs_after_5_balls,runs_after_10_balls,runs_after_20_balls,runs_after_30_balls,runs_after_40_balls,runs_after_50_balls,total_runs,total_balls_faced,out,dismissal_kind,dismissal_bowler,dismissal_fielder
335982,2008-04-18,M Chinnaswamy Stadium,Bangalore,2007/08,Kolkata Knight Riders,Royal Challengers Bangalore,1,BB McCullum,1,0,1,P Kumar,0.0,18.0,41.0,47.0,67.0,89.0,158,73,False,,,
335982,2008-04-18,M Chinnaswamy Stadium,Bangalore,2007/08,Kolkata Knight Riders,Royal Challengers Bangalore,1,DJ Hussey,125,2,14,SB Joshi,7.0,11.0,,,,,12,12,True,caught,AA Noffke,CL White
335982,2008-04-18,M Chinnaswamy Stadium,Bangalore,2007/08,Kolkata Knight Riders,Royal Challengers Bangalore,1,Mohammad Hafeez,173,3,18,AA Noffke,,,,,,,5,3,False,,,
335982,2008-04-18,M Chinnaswamy Stadium,Bangalore,2007/08,Kolkata Knight Riders,Royal Challengers Bangalore,1,RT Ponting,61,1,6,Z Khan,1.0,7.0,20.0,,,,20,20,True,caught,JH Kallis,P Kumar
335982,2008-04-18,M Chinnaswamy Stadium,Bangalore,2007/08,Kolkata Knight Riders,Royal Challengers Bangalore,1,SC Ganguly,0,0,1,P Kumar,0.0,10.0,,,,,10,12,True,caught,Z Khan,JH Kallis
335982,2008-04-18,M Chinnaswamy Stadium,Bangalore,2007/08,Royal Challengers Bangalore,Kolkata Knight Riders,2,AA Noffke,38,6,9,AB Agarkar,7.0,9.0,,,,,9,10,True,run out,SC Ganguly,AB Agarkar
335982,2008-04-18,M Chinnaswamy Stadium,Bangalore,2007/08,Royal Challengers Bangalore,Kolkata Knight Riders,2,B Akhil,38,5,9,AB Agarkar,,,,,,,0,2,True,caught,AB Agarkar,RT Ponting
335982,2008-04-18,M Chinnaswamy Stadium,Bangalore,2007/08,Royal Challengers Bangalore,Kolkata Knight Riders,2,CL White,24,3,5,AB Agarkar,2.0,6.0,,,,,6,10,True,caught,AB Agarkar,WP Saha
335982,2008-04-18,M Chinnaswamy Stadium,Bangalore,2007/08,Royal Challengers Bangalore,Kolkata Knight Riders,2,JH Kallis,9,2,3,AB Dinda,2.0,,,,,,8,7,True,caught,AB Agarkar,M Kartik
335982,2008-04-18,M Chinnaswamy Stadium,Bangalore,2007/08,Royal Challengers Bangalore,Kolkata Knight Riders,2,MV Boucher,24,4,6,AB Dinda,1.0,,,,,,7,9,True,caught,SC Ganguly,M Kartik
