filename,season,match_number,date,team1,team2,city,venue,neutral_venue,toss_winner,toss_decision,winner,win_type,win_margin,result,method,eliminator,player_of_match,umpire1,umpire2
335982.yaml,,,2008-04-18,Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,M Chinnaswamy Stadium,,Royal Challengers Bangalore,field,Kolkata Knight Riders,runs,140.0,,,,BB McCullum,Asad Rauf,RE Koertzen
335983.yaml,,,2008-04-19,Kings XI Punjab,Chennai Super Kings,Chandigarh,"Punjab Cricket Association Stadium, Mohali",,Chennai Super Kings,bat,Chennai Super Kings,runs,33.0,,,,MEK Hussey,MR Benson,SL Shastri
335984.yaml,,,2008-04-19,Delhi Daredevils,Rajasthan Royals,Delhi,Feroz Shah Kotla,,Rajasthan Royals,bat,Delhi Daredevils,wickets,9.0,,,,MF Maharoof,Aleem Dar,GA Pratapkumar
335985.yaml,,,2008-04-20,Mumbai Indians,Royal Challengers Bangalore,Mumbai,Wankhede Stadium,,Mumbai Indians,bat,Royal Challengers Bangalore,wickets,5.0,,,,MV Boucher,SJ Davis,DJ Harper
335986.yaml,,,2008-04-20,Kolkata Knight Riders,Deccan Chargers,Kolkata,Eden Gardens,,Deccan Chargers,bat,Kolkata Knight Riders,wickets,5.0,,,,DJ Hussey,BF Bowden,K Hariharan
335987.yaml,,,2008-04-21,Rajasthan Royals,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,,Kings XI Punjab,bat,Rajasthan Royals,wickets,6.0,,,,SR Watson,Aleem Dar,RB Tiffin
335988.yaml,,,2008-04-22,Deccan Chargers,Delhi Daredevils,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",,Deccan Chargers,bat,Delhi Daredevils,wickets,9.0,,,,V Sehwag,IL Howell,AM Saheba
335989.yaml,,,2008-04-23,Chennai Super Kings,Mumbai Indians,Chennai,"MA Chidambaram Stadium, Chepauk",,Mumbai Indians,field,Chennai Super Kings,runs,6.0,,,,ML Hayden,DJ Harper,GA Pratapkumar
335990.yaml,,,2008-04-24,Deccan Chargers,Rajasthan Royals,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,,,,YK Pathan,Asad Rauf,MR Benson
335991.yaml,,,2008-04-25,Kings XI Punjab,Mumbai Indians,Chandigarh,"Punjab Cricket Association Stadium, Mohali",,Mumbai Indians,field,Kings XI Punjab,runs,66.0,,,,KC Sangakkara,Aleem Dar,AM Saheba
335992.yaml,,,2008-04-26,Royal Challengers Bangalore,Rajasthan Royals,Bangalore,M Chinnaswamy Stadium,,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,,,,SR Watson,MR Benson,IL Howell
335993.yaml,,,2008-04-26,Chennai Super Kings,Kolkata Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk",,Kolkata Knight Riders,bat,Chennai Super Kings,wickets,9.0,,,,JDP Oram,BF Bowden,AV Jayaprakash
335994.yaml,,,2008-04-27,Mumbai Indians,Deccan Chargers,Mumbai,Dr DY Patil Sports Academy,,Deccan Chargers,field,Deccan Chargers,wickets,10.0,,,,AC Gilchrist,Asad Rauf,SL Shastri
335995.yaml,,,2008-04-27,Kings XI Punjab,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",,Delhi Daredevils,bat,Kings XI Punjab,wickets,4.0,,,,SM Katich,RE Koertzen,I Shivram
335996.yaml,,,2008-04-28,Royal Challengers Bangalore,Chennai Super Kings,Bangalore,M Chinnaswamy Stadium,,Chennai Super Kings,bat,Chennai Super Kings,runs,13.0,,,,MS Dhoni,BR Doctrove,RB Tiffin
335997.yaml,,,2008-04-29,Kolkata Knight Riders,Mumbai Indians,Kolkata,Eden Gardens,,Kolkata Knight Riders,bat,Mumbai Indians,wickets,7.0,,,,ST Jayasuriya,BF Bowden,AV Jayaprakash
335998.yaml,,,2008-04-30,Delhi Daredevils,Royal Challengers Bangalore,Delhi,Feroz Shah Kotla,,Royal Challengers Bangalore,field,Delhi Daredevils,runs,10.0,,,,GD McGrath,Aleem Dar,I Shivram
335999.yaml,,,2008-05-01,Deccan Chargers,Kings XI Punjab,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",,Kings XI Punjab,field,Kings XI Punjab,wickets,7.0,,,,SE Marsh,BR Doctrove,RB Tiffin
336000.yaml,,,2008-05-01,Rajasthan Royals,Kolkata Knight Riders,Jaipur,Sawai Mansingh Stadium,,Rajasthan Royals,bat,Rajasthan Royals,runs,45.0,,,,SA Asnodkar,RE Koertzen,GA Pratapkumar
336001.yaml,,,2008-05-02,Chennai Super Kings,Delhi Daredevils,Chennai,"MA Chidambaram Stadium, Chepauk",,Chennai Super Kings,bat,Delhi Daredevils,wickets,8.0,,,,V Sehwag,BF Bowden,K Hariharan
336002.yaml,,,2008-05-25,Deccan Chargers,Royal Challengers Bangalore,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",,Deccan Chargers,bat,Royal Challengers Bangalore,wickets,5.0,,,,R Vinay Kumar,Asad Rauf,RE Koertzen
336003.yaml,,,2008-05-03,Kings XI Punjab,Kolkata Knight Riders,Chandigarh,"Punjab Cricket Association Stadium, Mohali",,Kings XI Punjab,bat,Kings XI Punjab,runs,9.0,,,,IK Pathan,DJ Harper,I Shivram
336004.yaml,,,2008-05-04,Mumbai Indians,Delhi Daredevils,Mumbai,Dr DY Patil Sports Academy,,Delhi Daredevils,field,Mumbai Indians,runs,29.0,,,,SM Pollock,IL Howell,RE Koertzen
336005.yaml,,,2008-05-04,Rajasthan Royals,Chennai Super Kings,Jaipur,Sawai Mansingh Stadium,,Chennai Super Kings,bat,Rajasthan Royals,wickets,8.0,,,,Sohail Tanvir,Asad Rauf,AV Jayaprakash
336006.yaml,,,2008-05-05,Royal Challengers Bangalore,Kings XI Punjab,Bangalore,M Chinnaswamy Stadium,,Kings XI Punjab,field,Kings XI Punjab,wickets,6.0,,,,S Sreesanth,SJ Davis,BR Doctrove
336007.yaml,,,2008-05-06,Chennai Super Kings,Deccan Chargers,Chennai,"MA Chidambaram Stadium, Chepauk",,Deccan Chargers,field,Deccan Chargers,wickets,7.0,,,,AC Gilchrist,MR Benson,RB Tiffin
336008.yaml,,,2008-05-07,Mumbai Indians,Rajasthan Royals,Mumbai,Dr DY Patil Sports Academy,,Mumbai Indians,field,Mumbai Indians,wickets,7.0,,,,A Nehra,DJ Harper,RE Koertzen
336009.yaml,,,2008-05-08,Delhi Daredevils,Chennai Super Kings,Delhi,Feroz Shah Kotla,,Chennai Super Kings,field,Chennai Super Kings,wickets,4.0,,,,MS Dhoni,Aleem Dar,RB Tiffin
336010.yaml,,,2008-05-08,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,Eden Gardens,,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,5.0,,,,SC Ganguly,Asad Rauf,IL Howell
